"タスク大分類コード","タスク大分類","タスク中分類コード","タスク中分類","タスク小分類コード","タスク小分類","評価項目コード","評価項目"
"ST01","事業戦略策定","ST01.2","事業戦略の策定","ST01.2.4","費用計画の策定","ST01.2.4.1","製品・サービスを作るために必要な費用を洗い出し、積算する"
"ST01","事業戦略策定","ST01.2","事業戦略の策定","ST01.2.4","費用計画の策定","ST01.2.4.2","製品・サービスを販売するために必要な人員、経費等を洗い出し、積算する"
"ST01","事業戦略策定","ST01.2","事業戦略の策定","ST01.2.4","費用計画の策定","ST01.2.4.3","決算期にあわせて、実施施策（販売施策、実行計画等）に対する費用予測を立てる"
"ST01","事業戦略策定","ST01.2","事業戦略の策定","ST01.2.5","利益計画の策定","ST01.2.5.1","売上、原価、販売管理費等の計画に基づき、利益計画を策定する"
"ST01","事業戦略策定","ST01.2","事業戦略の策定","ST01.2.5","利益計画の策定","ST01.2.5.2","現状と将来の利益構造に基づき損益分岐点グラフを作成し、損益の変化を可視化する"
"ST01","事業戦略策定","ST01.2","事業戦略の策定","ST01.2.5","利益計画の策定","ST01.2.5.3","損益分岐点を把握し、目標利益を設定する"
"ST01","事業戦略策定","ST01.2","事業戦略の策定","ST01.2.6","資金計画の策定","ST01.2.6.1","売上、行動、費用、利益等の計画を鑑み、資金調達の必要性を検討し、返済計画を策定する"
"ST01","事業戦略策定","ST01.2","事業戦略の策定","ST01.2.6","資金計画の策定","ST01.2.6.2","資金調達を阻害する外的要因を把握し、リスクを洗い出す"
"ST01","事業戦略策定","ST01.2","事業戦略の策定","ST01.2.6","資金計画の策定","ST01.2.6.3","自社本来の資金計画（キャッシュフロー）を確認する"
"ST01","事業戦略策定","ST01.2","事業戦略の策定","ST01.2.6","資金計画の策定","ST01.2.6.4","資金繰りのシミュレーションを行い、資金調達の妥当性を検証する"
"ST01","事業戦略策定","ST01.2","事業戦略の策定","ST01.2.6","資金計画の策定","ST01.2.6.5","予想の貸借対照表を複数年作成し、負債と自己資産のバランスを確認する"
"ST01","事業戦略策定","ST01.3","事業戦略実行体制の確立","ST01.3.1","実現可能性の検証","ST01.3.1.1","売上、費用、利益等の数値計画と販売施策、実行計画等の実施施策との整合性を確認する"
"ST01","事業戦略策定","ST01.3","事業戦略実行体制の確立","ST01.3.1","実現可能性の検証","ST01.3.1.2","事業のあるべき姿と現実とのギャップを確認する"
"ST01","事業戦略策定","ST01.3","事業戦略実行体制の確立","ST01.3.1","実現可能性の検証","ST01.3.1.3","現状と照らし合わせた事業計画の実現性を確認する"
"ST01","事業戦略策定","ST01.3","事業戦略実行体制の確立","ST01.3.1","実現可能性の検証","ST01.3.1.4","計画と実際に乖離が生じた場合の実施可能な対応策が立てられていることを確認する"
"ST01","事業戦略策定","ST01.3","事業戦略実行体制の確立","ST01.3.2","実施準備","ST01.3.2.1","実行計画を部門、職位（ポジション）、職務（役割）毎に整理する"
"ST01","事業戦略策定","ST01.3","事業戦略実行体制の確立","ST01.3.2","実施準備","ST01.3.2.2","部門・職位（ポジション）・職務（役割）別に目標を必達目標と挑戦的なチャレンジ目標に分けて設定する"
"ST01","事業戦略策定","ST01.3","事業戦略実行体制の確立","ST01.3.2","実施準備","ST01.3.2.3","全社、部門、チーム毎の目標を定期的にチェックするタイミングを明らかにする"
"ST01","事業戦略策定","ST01.3","事業戦略実行体制の確立","ST01.3.2","実施準備","ST01.3.2.4","事業計画の遂行を管理する体制を構築する"
"ST01","事業戦略策定","ST01.3","事業戦略実行体制の確立","ST01.3.2","実施準備","ST01.3.2.5","情報の共有とチェックの方法を明らかにする"
"ST02","事業戦略把握・策定支援","ST02.1","要求（構想）の確認","ST02.1.1","経営要求の確認","ST02.1.1.1","事業の方向性を判断するために、経営方針を把握する"
"ST02","事業戦略把握・策定支援","ST02.1","要求（構想）の確認","ST02.1.1","経営要求の確認","ST02.1.1.2","事業で達成すべき目標を定めるために、企業目標を把握する"
"ST02","事業戦略把握・策定支援","ST02.1","要求（構想）の確認","ST02.1.1","経営要求の確認","ST02.1.1.3","中長期のマイルストーンを描くために、中長期構想を把握する"
"ST02","事業戦略把握・策定支援","ST02.1","要求（構想）の確認","ST02.1.1","経営要求の確認","ST02.1.1.4","戦略を描く範囲を確定させるために、対象とする事業領域を把握する"
"ST02","事業戦略把握・策定支援","ST02.1","要求（構想）の確認","ST02.1.2","経営環境の調査・分析と課題の抽出","ST02.1.2.1","企業の内外環境の情報を収集し、企業の置かれている状況を分析する"
"ST02","事業戦略把握・策定支援","ST02.1","要求（構想）の確認","ST02.1.2","経営環境の調査・分析と課題の抽出","ST02.1.2.2","企業の内外環境の分析結果と企業目標の関係を戦略指針として文書化する"
"ST02","事業戦略把握・策定支援","ST02.1","要求（構想）の確認","ST02.1.2","経営環境の調査・分析と課題の抽出","ST02.1.2.3","経営課題解決に必要なITという視点から明らかになる経営資源の課題を分析、抽出する"
"ST02","事業戦略把握・策定支援","ST02.1","要求（構想）の確認","ST02.1.2","経営環境の調査・分析と課題の抽出","ST02.1.2.4","分析、抽出した課題に対し、事業モデル構築面や事業運営面から課題を評価する"
"ST02","事業戦略把握・策定支援","ST02.2","新ビジネスモデルへの提言","ST02.2.1","業界動向の調査・分析","ST02.2.1.1","経営戦略や事業戦略にITを活用する観点で、IT動向を網羅的かつ総括的に把握する"
"ST02","事業戦略把握・策定支援","ST02.2","新ビジネスモデルへの提言","ST02.2.1","業界動向の調査・分析","ST02.2.1.2","収集したIT動向に基づき、経営戦略や事業戦略におけるITの活用方法を検討し、文書化する"
"ST02","事業戦略把握・策定支援","ST02.2","新ビジネスモデルへの提言","ST02.2.1","業界動向の調査・分析","ST02.2.1.3","IT動向の情報を継続的に収集し、事業へのIT活用事例を取りまとめる"
"ST02","事業戦略把握・策定支援","ST02.2","新ビジネスモデルへの提言","ST02.2.2","ビジネスモデル策定への助言","ST02.2.2.1","ITを活用した新しいビジネスモデルにより革新的な事業変革を導き出せる領域を提言する"
"ST02","事業戦略把握・策定支援","ST02.2","新ビジネスモデルへの提言","ST02.2.2","ビジネスモデル策定への助言","ST02.2.2.2","ビジネスモデル策定に対してIT戦略と情報システム資源配分の面から助言する"
"ST02","事業戦略把握・策定支援","ST02.2","新ビジネスモデルへの提言","ST02.2.2","ビジネスモデル策定への助言","ST02.2.2.3","経営環境の変化およびITの技術革新がビジネスに及ぼす影響を説明する"
"ST02","事業戦略把握・策定支援","ST02.3","事業戦略の実現シナリオへの提言","ST02.3.1","実現可能性の確認","ST02.3.1.1","ビジネスモデルと情報システムの全体最適化の観点で事業戦略の実現可能性を評価する"
"ST02","事業戦略把握・策定支援","ST02.3","事業戦略の実現シナリオへの提言","ST02.3.1","実現可能性の確認","ST02.3.1.2","IT基盤構造の全体最適化の観点で事業戦略の実現可能性を評価する"
"ST02","事業戦略把握・策定支援","ST02.3","事業戦略の実現シナリオへの提言","ST02.3.1","実現可能性の確認","ST02.3.1.3","利用する情報システム資源の普及度合いから事業戦略の実現可能性を評価する"
"ST02","事業戦略把握・策定支援","ST02.3","事業戦略の実現シナリオへの提言","ST02.3.1","実現可能性の確認","ST02.3.1.4","利用する情報システム資源の先進度合いから事業戦略の実現可能性を評価する"
"ST02","事業戦略把握・策定支援","ST02.3","事業戦略の実現シナリオへの提言","ST02.3.2","全社戦略の展開における活動・成果指標の設定","ST02.3.2.1","事業戦略の実現度合いを確認するための成果指標、目標値およびその測定方法を設定する"
"ST02","事業戦略把握・策定支援","ST02.3","事業戦略の実現シナリオへの提言","ST02.3.2","全社戦略の展開における活動・成果指標の設定","ST02.3.2.2","事業戦略の実現に向けた活動の実施状況を把握するための活動指標、目標値およびその測定方法を設定する"
"ST02","事業戦略把握・策定支援","ST02.3","事業戦略の実現シナリオへの提言","ST02.3.2","全社戦略の展開における活動・成果指標の設定","ST02.3.2.3","事業戦略の実現度合いや活動の実施状況の指標や目標値について、関係者の合意を取り付ける"
"ST02","事業戦略把握・策定支援","ST02.3","事業戦略の実現シナリオへの提言","ST02.3.3","課題とリスクの洗い出し","ST02.3.3.1","自社および外部の現状や動向を踏まえて、情報システムに関する様々な課題やリスクを洗い出す"
"ST02","事業戦略把握・策定支援","ST02.3","事業戦略の実現シナリオへの提言","ST02.3.3","課題とリスクの洗い出し","ST02.3.3.2","情報システムの課題やリスクを体系的に整理し、対処するものと許容するものの判別を行う"
"ST02","事業戦略把握・策定支援","ST02.3","事業戦略の実現シナリオへの提言","ST02.3.3","課題とリスクの洗い出し","ST02.3.3.3","新ビジネスモデルの課題やリスクを洗い出す"
"ST02","事業戦略把握・策定支援","ST02.3","事業戦略の実現シナリオへの提言","ST02.3.3","課題とリスクの洗い出し","ST02.3.3.4","新ビジネスモデルの課題やリスクを体系的に整理し、対処するものと許容するものの判別を行う"
"ST02","事業戦略把握・策定支援","ST02.3","事業戦略の実現シナリオへの提言","ST02.3.4","超概算予算の算出","ST02.3.4.1","プロジェクト実施上の制約事項を踏まえて、各成果を得るために必要となる作業を洗い出す"
"ST02","事業戦略把握・策定支援","ST02.3","事業戦略の実現シナリオへの提言","ST02.3.4","超概算予算の算出","ST02.3.4.2","洗い出された各作業内容を踏まえて、ヒトモノカネ＋ITの観点で、どのようなリソースが必要となるかを洗い出す"
"ST02","事業戦略把握・策定支援","ST02.3","事業戦略の実現シナリオへの提言","ST02.3.4","超概算予算の算出","ST02.3.4.3","洗い出されたリソースの調達費用を積み上げて、実行に向けた概算費用を算出し、予算化する"
"ST03","IT製品・サービス戦略策定","ST03.1","市場動向の調査・分析・予測","ST03.1.1","市場機会の発見と選択","ST03.1.1.1","予め決められた時間と予算の中でマクロ環境情報（人口統計、経済、政治、技術等）やミクロ環境情報（自社、競合、顧客、協力者等）を収集する"
"ST03","IT製品・サービス戦略策定","ST03.1","市場動向の調査・分析・予測","ST03.1.1","市場機会の発見と選択","ST03.1.1.2","ターゲット市場の規模（潜在顧客の数、構成等）、成長性、ニーズ、購買決定プロセス、購買決定者等を分析する"
"ST03","IT製品・サービス戦略策定","ST03.1","市場動向の調査・分析・予測","ST03.1.1","市場機会の発見と選択","ST03.1.1.3","ターゲット市場における競合他社を特定し、その戦略、経営資源やパフォーマンス（売上高、市場シェア、利益、顧客数、ブランドイメージ等）の強み・弱みを分析する"
"ST03","IT製品・サービス戦略策定","ST03.1","市場動向の調査・分析・予測","ST03.1.1","市場機会の発見と選択","ST03.1.1.4","ターゲット市場に対する自社の経営資源やパフォーマンス（売上高、市場シェア、利益、顧客数、ブランドイメージ等）の強み・弱みを把握する"
"ST03","IT製品・サービス戦略策定","ST03.1","市場動向の調査・分析・予測","ST03.1.2","ターゲット市場のビジネスチャンス分析","ST03.1.2.1","業種・業態、規模、企業形態、地域等の観点でターゲット市場を具体化する"
"ST03","IT製品・サービス戦略策定","ST03.1","市場動向の調査・分析・予測","ST03.1.2","ターゲット市場のビジネスチャンス分析","ST03.1.2.2","ターゲット市場を、規模、成長性、競合状況、参入コスト等の観点で評価し、絞り込む"
"ST03","IT製品・サービス戦略策定","ST03.1","市場動向の調査・分析・予測","ST03.1.2","ターゲット市場のビジネスチャンス分析","ST03.1.2.3","ターゲット市場における製品やサービスの需要を見積もる"
"ST03","IT製品・サービス戦略策定","ST03.2","IT製品・サービス戦略の策定","ST03.2.1","ビジネス機会の分析","ST03.2.1.1","市場や競合他社の状況を踏まえて、ターゲット市場に投入する自社製品・サービスを特定する"
"ST03","IT製品・サービス戦略策定","ST03.2","IT製品・サービス戦略の策定","ST03.2.1","ビジネス機会の分析","ST03.2.1.2","ターゲット市場に投入する自社製品・サービスの価値を具体化する"
"ST03","IT製品・サービス戦略策定","ST03.2","IT製品・サービス戦略の策定","ST03.2.1","ビジネス機会の分析","ST03.2.1.3","ターゲット市場の規模と販売目標値を設定する"
"ST03","IT製品・サービス戦略策定","ST03.2","IT製品・サービス戦略の策定","ST03.2.2","新規製品・サービスの企画","ST03.2.2.1","市場分析の結果から、自社の強みを活かした取り扱い製品やサービスの開発企画を立案する"
"ST03","IT製品・サービス戦略策定","ST03.2","IT製品・サービス戦略の策定","ST03.2.2","新規製品・サービスの企画","ST03.2.2.2","市場での自社製品やサービスのポジショニングから、製品・サービスのポートフォリオを描く"
"ST03","IT製品・サービス戦略策定","ST03.2","IT製品・サービス戦略の策定","ST03.2.2","新規製品・サービスの企画","ST03.2.2.3","市場価格、顧客価値、投資状況、販売計画等から製品・サービスの適正な価格を設定する"
"ST03","IT製品・サービス戦略策定","ST03.2","IT製品・サービス戦略の策定","ST03.2.2","新規製品・サービスの企画","ST03.2.2.4","製品・サービスの販売（売上、利益、マーケットシェア等）の目標値を設定する"
"ST03","IT製品・サービス戦略策定","ST03.2","IT製品・サービス戦略の策定","ST03.2.3","既存製品・サービスのロードマップ更新","ST03.2.3.1","自社製品・サービスの市場価値を高めるための要件を洗い出し、優先順位を付ける"
"ST03","IT製品・サービス戦略策定","ST03.2","IT製品・サービス戦略の策定","ST03.2.3","既存製品・サービスのロードマップ更新","ST03.2.3.2","自社製品・サービスの市場価値を高めるための諸条件を整理する"
"ST03","IT製品・サービス戦略策定","ST03.2","IT製品・サービス戦略の策定","ST03.2.3","既存製品・サービスのロードマップ更新","ST03.2.3.3","自社の経営方針・事業戦略や外部環境動向を理解した上で、製品・サービスの中長期のロードマップを作成（更新）する"
"PL01","IT戦略策定・実行推進","PL01.1","基本方針の策定","PL01.1.1","現状分析・環境分析","PL01.1.1.1","組織全体のバリューチェーン（業務の関連）を最新IT資産との関係を踏まえて把握する"
"PL01","IT戦略策定・実行推進","PL01.1","基本方針の策定","PL01.1.1","現状分析・環境分析","PL01.1.1.2","現行情報システムの目的、機能、規模、能力、コストを捉えたIT資産、IT不良資産のリストを作成、更新する"
"PL01","IT戦略策定・実行推進","PL01.1","基本方針の策定","PL01.1.1","現状分析・環境分析","PL01.1.1.3","同業他社のシステム構築・導入に関する先進事例、成功事例を収集し、技術動向、他社動向を把握する"
"PL01","IT戦略策定・実行推進","PL01.1","基本方針の策定","PL01.1.1","現状分析・環境分析","PL01.1.1.4","現行のシステムアーキテクチャと技術フレームワークを踏まえた主要技術ロードマップを整理（把握）する"
"PL01","IT戦略策定・実行推進","PL01.1","基本方針の策定","PL01.1.1","現状分析・環境分析","PL01.1.1.5","現行の業務とシステムを把握し、事業のIT戦略を推進する上での主要課題を洗い出す"
"PL01","IT戦略策定・実行推進","PL01.1","基本方針の策定","PL01.1.2","IT基本方針の策定","PL01.1.2.1","中長期経営計画から導出される重点IT化領域について検討し、実現のためのIT基本方針を明らかにする"
"PL01","IT戦略策定・実行推進","PL01.1","基本方針の策定","PL01.1.2","IT基本方針の策定","PL01.1.2.2","ITガバナンス要件、技術ロードマップ、IT戦略上の課題を踏まえて、組織全体の主要なIT方針を決定、更新する"
"PL01","IT戦略策定・実行推進","PL01.1","基本方針の策定","PL01.1.2","IT基本方針の策定","PL01.1.2.3","ITポートフォリオ、IT方針が組織全体のガバナンスに準じていることを検証し、ガバナンスの承認を得る"
"PL01","IT戦略策定・実行推進","PL01.1","基本方針の策定","PL01.1.2","IT基本方針の策定","PL01.1.2.4","IT基本方針が組織全体で理解されるよう、マネジメント層を活用して周知する"
"PL01","IT戦略策定・実行推進","PL01.2","IT化計画の策定","PL01.2.1","IT中期計画の作成","PL01.2.1.1","事業に関連する業務の流れ、主要データ、主要情報システムならびにIT技術動向を把握する"
"PL01","IT戦略策定・実行推進","PL01.2","IT化計画の策定","PL01.2.1","IT中期計画の作成","PL01.2.1.2","事業のIT化の課題解決の方向性を明らかにして、目指すべき事業とシステムの将来像を描く"
"PL01","IT戦略策定・実行推進","PL01.2","IT化計画の策定","PL01.2.1","IT中期計画の作成","PL01.2.1.3","システムの将来像に至るロードマップ（アプリケーションロードマップ）を作成し、実現のために必要なシステム基盤と関連事業への要求を整理する"
"PL01","IT戦略策定・実行推進","PL01.2","IT化計画の策定","PL01.2.1","IT中期計画の作成","PL01.2.1.4","システムの将来像実現の制約事項やリスクを踏まえたリソース（ヒト、モノ、カネ）を評価し、中期的投資原案を作成する"
"PL01","IT戦略策定・実行推進","PL01.2","IT化計画の策定","PL01.2.2","IT基盤戦略の策定","PL01.2.2.1","システム基盤のアーキテクチャ、技術フレームワーク、開発方式・技法に関する技術動向、他社動向を把握し、主要な技術ロードマップを整理する"
"PL01","IT戦略策定・実行推進","PL01.2","IT化計画の策定","PL01.2.2","IT基盤戦略の策定","PL01.2.2.2","最新のシステム基盤（共通基盤、個別システム基盤）とIT技術動向の調査・分析結果を踏まえて、目指すべきシステム基盤の将来像を描く"
"PL01","IT戦略策定・実行推進","PL01.2","IT化計画の策定","PL01.2.2","IT基盤戦略の策定","PL01.2.2.3","システム基盤の将来像に至るロードマップ（IT基盤戦略）を策定し、アプリケーションロードマップとの整合性を調整する"
"PL01","IT戦略策定・実行推進","PL01.2","IT化計画の策定","PL01.2.2","IT基盤戦略の策定","PL01.2.2.4","ロードマップ実現のための実行計画を、優先度や投資対効果を踏まえて洗い出す"
"PL01","IT戦略策定・実行推進","PL01.2","IT化計画の策定","PL01.2.2","IT基盤戦略の策定","PL01.2.2.5","IT基盤戦略の実現に向けた活動が進捗し、成果を出しているかを評価するための成果指標と目標値を設定する"
"PL01","IT戦略策定・実行推進","PL01.2","IT化計画の策定","PL01.2.3","事業部門のIT化計画の作成","PL01.2.3.1","事業戦略からITに繋がる要素を導き出し、重要性、緊急性を踏まえて重点施策を設定する"
"PL01","IT戦略策定・実行推進","PL01.2","IT化計画の策定","PL01.2.3","事業部門のIT化計画の作成","PL01.2.3.2","関係者から提示された個別の計画案を、事業戦略達成のバランス、リソース要件を踏まえて調整し、集約する"
"PL01","IT戦略策定・実行推進","PL01.2","IT化計画の策定","PL01.2.3","事業部門のIT化計画の作成","PL01.2.3.3","事業部門のIT化計画の成果と到達目標について、指標を設定し、目標レベルを設定する"
"PL01","IT戦略策定・実行推進","PL01.2","IT化計画の策定","PL01.2.4","IT基盤計画の作成","PL01.2.4.1","事業部門のIT化計画を踏まえて、IT基盤の開発・改善対象を識別し、優先順位をつけて計画案をまとめる"
"PL01","IT戦略策定・実行推進","PL01.2","IT化計画の策定","PL01.2.4","IT基盤計画の作成","PL01.2.4.2","計画実施に必要な投資、体制、リスク（前提となる環境変化、費用算定単価等）に基づいて、必要なリソースを文書化する"
"PL01","IT戦略策定・実行推進","PL01.2","IT化計画の策定","PL01.2.4","IT基盤計画の作成","PL01.2.4.3","計画案がIT基本方針に準じ、IT基盤戦略を推進するように調整する"
"PL01","IT戦略策定・実行推進","PL01.2","IT化計画の策定","PL01.2.4","IT基盤計画の作成","PL01.2.4.4","計画案において、IT基盤戦略の目標到達や投資対効果を評価できる指標を設定し、目標レベルを設定する"
"PL01","IT戦略策定・実行推進","PL01.2","IT化計画の策定","PL01.2.5","全体計画の策定","PL01.2.5.1","事業部門のIT化計画とIT基盤計画を集約し、評価指標（戦略との整合性、個別優先度、全体最適等）に基づく評価基準をまとめる"
"PL01","IT戦略策定・実行推進","PL01.2","IT化計画の策定","PL01.2.5","全体計画の策定","PL01.2.5.2","全組織の統括レベルの戦略課題や事業横断案件を不整合なく全体計画に組み込む"
"PL01","IT戦略策定・実行推進","PL01.2","IT化計画の策定","PL01.2.5","全体計画の策定","PL01.2.5.3","全体計画を、中期、年度の両投資原案として精査し、IT化計画の確定案としてまとめる"
"PL01","IT戦略策定・実行推進","PL01.2","IT化計画の策定","PL01.2.5","全体計画の策定","PL01.2.5.4","必要な投資、体制、リスク（前提となる環境変化、費用算定単価等）に基づいて計画を取りまとめ、IT戦略（投資配分）を文書化する"
"PL01","IT戦略策定・実行推進","PL01.2","IT化計画の策定","PL01.2.5","全体計画の策定","PL01.2.5.5","決定機関の承認後、関係部門にIT戦略と共に確定した計画を周知する"
"PL01","IT戦略策定・実行推進","PL01.3","IT戦略実行マネジメント","PL01.3.1","IT戦略の理解とプログラムの定義","PL01.3.1.1","IT戦略の全体価値を理解し、プログラムのテーマ、目的、目標、手段の相互関係を明らかにする"
"PL01","IT戦略策定・実行推進","PL01.3","IT戦略実行マネジメント","PL01.3.1","IT戦略の理解とプログラムの定義","PL01.3.1.2","プログラムの実現可能性、内部構造化、外部関係性を規定し、内外からの変更に対応できる構想計画を策定する"
"PL01","IT戦略策定・実行推進","PL01.3","IT戦略実行マネジメント","PL01.3.1","IT戦略の理解とプログラムの定義","PL01.3.1.3","プログラムの基本的な枠組みを定め、制約条件を設定する"
"PL01","IT戦略策定・実行推進","PL01.3","IT戦略実行マネジメント","PL01.3.2","プログラム戦略マネジメント","PL01.3.2.1","プログラムの目的を達成するための問題解決の基本的な枠組みを定める"
"PL01","IT戦略策定・実行推進","PL01.3","IT戦略実行マネジメント","PL01.3.2","プログラム戦略マネジメント","PL01.3.2.2","プログラムの重要な戦略要素を識別し、時間、基盤、コスト、資源、市場の評価軸を使ってプログラムのシナリオを選択する"
"PL01","IT戦略策定・実行推進","PL01.3","IT戦略実行マネジメント","PL01.3.2","プログラム戦略マネジメント","PL01.3.2.3","プログラムの置かれた内部・外部環境を分析し、現実的な戦略を定める"
"PL01","IT戦略策定・実行推進","PL01.3","IT戦略実行マネジメント","PL01.3.3","実行組織の確立","PL01.3.3.1","プログラムの構想に準じて、プログラムを構成する自律的なプロジェクト体制を確立する"
"PL01","IT戦略策定・実行推進","PL01.3","IT戦略実行マネジメント","PL01.3.3","実行組織の確立","PL01.3.3.2","各々のプロジェクト体制の特性と能力に基づいたプログラムの実行計画を展開する"
"PL01","IT戦略策定・実行推進","PL01.3","IT戦略実行マネジメント","PL01.3.3","実行組織の確立","PL01.3.3.3","プログラムを構成するプロジェクトがプログラムの最適化に寄与するような仕組み、目標、ルールを設定する"
"PL01","IT戦略策定・実行推進","PL01.3","IT戦略実行マネジメント","PL01.3.4","モニタリング","PL01.3.4.1","プログラムに影響を与える市場動向、国際・国内政治動向、法制度の変化を把握し、影響を分析する"
"PL01","IT戦略策定・実行推進","PL01.3","IT戦略実行マネジメント","PL01.3.4","モニタリング","PL01.3.4.2","プログラムの実行情報を評価する基準を、プログラムの変化の特徴、価値の維持の許容水準、実現要素を踏まえて設定する"
"PL01","IT戦略策定・実行推進","PL01.3","IT戦略実行マネジメント","PL01.3.4","モニタリング","PL01.3.4.3","最新のプログラム実行情報を収集するための仕組みやルールを定め、定期的、継続的にモニタリングする"
"PL01","IT戦略策定・実行推進","PL01.3","IT戦略実行マネジメント","PL01.3.5","アセスメントマネジメント","PL01.3.5.1","プログラムの期待価値を、時間の推移、環境の変化に応じて計画時と比較評価する"
"PL01","IT戦略策定・実行推進","PL01.3","IT戦略実行マネジメント","PL01.3.5","アセスメントマネジメント","PL01.3.5.2","プログラムの価値を、計画時に設定した価値指標を用いて定期的に測定し、経営層に報告する"
"PL01","IT戦略策定・実行推進","PL01.3","IT戦略実行マネジメント","PL01.3.5","アセスメントマネジメント","PL01.3.5.3","プログラムの期待価値の変化に応じて、プログラムの目標や手段の変更等、プログラムチェンジすべき要因を特定する"
